Category: All categories

Region,MongoDB: (4/21/23 - 4/21/24)
District of Columbia,100
Virginia,93
New York,84
California,82
New Jersey,73
Washington,73
Massachusetts,69
Colorado,65
Utah,62
Texas,61
Maryland,55
Oregon,50
Minnesota,48
New Hampshire,47
Connecticut,46
Georgia,44
Illinois,43
North Carolina,42
Iowa,41
Missouri,41
Rhode Island,38
Arizona,38
Delaware,36
Pennsylvania,36
Kansas,35
Idaho,34
Hawaii,33
Nevada,33
Vermont,32
Michigan,31
Florida,31
Ohio,30
Indiana,29
Wisconsin,28
Montana,26
New Mexico,26
Arkansas,24
Tennessee,24
Nebraska,24
South Carolina,23
Oklahoma,22
Maine,22
Kentucky,21
Alabama,19
West Virginia,15
South Dakota,15
Louisiana,14
North Dakota,14
Wyoming,11
Alaska,11
Mississippi,7
